country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cyprus,751,782,890,1150,1290,1370,1470,1690,2160,2110,2050,2110,1900,1920,1870,1600,1650,1770,2020,2090,2480,3120,2860,
Czech Republic,343,389,498,641,746,853,942,1110,1450,1440,1510,1650,1510,1510,1510,1310,1370,1520,1750,1810,2110,2540,2430,2610
Germany,2340,2350,2570,3150,3460,3560,3700,4180,4670,4670,4610,5040,4770,5100,5310,4630,4750,5070,5510,5490,5930,6640,6180,6230
Djibouti,35.5,33.6,39.5,46.3,40,45.1,53.3,55.2,55.9,56.9,55.7,61.9,64.9,60.6,65.5,79.5,68.8,64.7,68.5,68.3,66.9,87.2,81.8,
Dominica,259,232,227,243,254,264,271,293,336,354,370,387,407,382,389,396,424,416,503,466,457,522,574,
Denmark,2500,2600,2900,3610,4190,4440,4780,5470,6140,6220,6170,6440,6170,6330,6470,5530,5620,5830,6230,6060,6530,7470,6460,6430
Dominican Republic,138,143,153,105,105,169,162,190,229,237,270,294,304,302,312,322,328,337,327,346,354,417,462,
Algeria,61.9,67.1,66.7,76,92.7,101,117,151,206,207,228,286,340,338,367,297,266,271,272,242,211,209,180,
Ecuador,48.1,71.2,97.3,132,150,168,190,193,232,245,287,340,388,414,433,464,449,469,494,484,473,499,493,
Egypt,69.4,68.7,64,50.3,50.3,59.5,66.3,73.3,90.2,98.9,105,116,140,140,155,170,143,106,118,143,148,177,171,
Eritrea,14,14.9,15.8,19.8,23.2,21.9,23.8,19.6,21.6,24.4,26,35.6,27.8,31.6,32.9,29.2,26,25.1,26.7,28.4,27.7,27.6,27.1,
Spain,1010,1050,1170,1640,1920,2060,2240,2610,3000,2940,2790,2910,2590,2630,2680,2350,2380,2530,2740,2710,2900,3140,2910,
Estonia,210,215,250,369,475,550,627,866,1080,1010,966,1060,1060,1190,1290,1160,1230,1350,1550,1600,1790,2090,2000,
Ethiopia,5.29,5.51,5.15,5.71,5.74,6.48,8.42,11.6,13,15.1,16.2,14.6,20,19.3,21.6,23.2,24.3,24.2,23.5,25.9,28.3,26.1,27.1,
Finland,1730,1810,2060,2610,3040,3240,3410,3920,4490,4350,4250,4720,4570,4890,4920,4130,4110,4240,4520,4460,4740,5260,4900,
Fiji,74.3,61.5,69.4,86.1,110,120,126,140,135,121,128,141,154,159,178,169,176,186,250,255,256,332,217,213
France,2160,2190,2450,3010,3460,3580,3810,4310,4810,4740,4590,4930,4640,4880,4970,4200,4260,4420,4670,4510,4750,5380,4870,
"Micronesia, Fed. Sts.",161,181,170,209,258,398,404,410,448,493,581,380,372,355,345,362,400,409,427,425,403,399,397,
Gabon,123,121,132,166,182,190,212,253,270,282,207,261,225,261,233,187,208,192,209,206,225,229,247,
UK,2030,2080,2370,2790,3380,3550,3820,4430,4300,3830,3890,4140,4220,4350,4720,4440,4020,3910,4220,4260,4820,5610,5040,5370
Georgia,52.3,56.4,66.1,80.7,105,132,152,196,282,270,285,313,346,356,367,293,319,302,330,306,352,414,478,
Ghana,10.5,12.1,14.3,18.9,23.5,38.4,49.2,57.2,63.3,62.3,80.6,91.7,81.9,105,78.5,78.2,64.9,54.1,53.4,71.1,97.4,94.4,82.3,
Guinea,22.7,21.8,24.8,25.6,26.4,19.7,16.2,22.6,23,23.7,22.6,24.1,23.7,25.9,36.6,43.4,38.5,32.6,34.9,42.2,41.1,44.1,55,
